zip,status
01001,URBAN
01002,URBAN
01005,URBAN
01007,URBAN
01008,URBAN
01010,URBAN
01011,URBAN
01012,URBAN
01013,URBAN
01020,URBAN
01022,URBAN
01026,URBAN
01027,URBAN
01028,URBAN
01029,URBAN
01030,URBAN
01031,URBAN
01032,URBAN
01033,URBAN
01034,URBAN
01035,URBAN
01036,URBAN
01037,URBAN
01038,URBAN
01039,URBAN
01040,URBAN
01050,URBAN
01053,URBAN
01054,URBAN
01056,URBAN
01057,URBAN
01060,URBAN
01062,URBAN
01068,URBAN
01069,URBAN
01070,URBAN
01071,URBAN
01072,URBAN
01073,URBAN
01075,URBAN
01077,URBAN
01080,URBAN
01081,URBAN
01082,URBAN
01083,URBAN
01084,URBAN
01085,URBAN
01088,URBAN
01089,URBAN
01092,URBAN
01095,URBAN
01096,URBAN
01098,URBAN
01103,URBAN
01104,URBAN
01105,URBAN
01106,URBAN
01107,URBAN
01108,URBAN
01109,URBAN
01118,URBAN
01119,URBAN
01128,URBAN
01129,URBAN
01151,URBAN
01201,URBAN
01220,URBAN
01222,URBAN
01223,URBAN
01225,URBAN
01226,URBAN
01230,URBAN
01235,URBAN
01236,URBAN
01237,URBAN
01238,URBAN
01240,URBAN
01242,URBAN
01245,URBAN
01247,URBAN
01253,URBAN
01254,URBAN
01255,URBAN
01256,URBAN
01257,URBAN
01258,URBAN
01259,URBAN
01262,URBAN
01264,URBAN
01266,URBAN
01267,URBAN
01301,URBAN
01330,URBAN
01331,URBAN
01337,URBAN
01338,URBAN
01339,URBAN
01340,URBAN
01341,URBAN
01342,URBAN
01344,URBAN
01346,URBAN
01349,URBAN
01350,URBAN
01351,URBAN
01355,URBAN
01360,URBAN
01364,URBAN
01366,URBAN
01367,URBAN
01368,URBAN
01370,URBAN
01373,URBAN
01375,URBAN
01376,URBAN
01378,URBAN
01379,URBAN
01380,URBAN
01420,URBAN
01430,URBAN
01431,URBAN
01432,URBAN
01436,URBAN
01438,URBAN
01440,URBAN
01450,URBAN
01451,URBAN
01452,URBAN
01453,URBAN
01460,URBAN
01462,URBAN
01463,URBAN
01464,URBAN
01467,URBAN
01468,URBAN
01469,URBAN
01473,URBAN
01474,URBAN
01475,URBAN
01501,URBAN
01503,URBAN
01504,URBAN
01505,URBAN
01506,URBAN
01507,URBAN
01510,URBAN
01515,URBAN
01516,URBAN
01518,URBAN
01519,URBAN
01520,URBAN
01521,URBAN
01522,URBAN
01523,URBAN
01524,URBAN
01527,URBAN
01529,URBAN
01531,URBAN
01532,URBAN
01534,URBAN
01535,URBAN
01536,URBAN
01537,URBAN
01540,URBAN
01541,URBAN
01542,URBAN
01543,URBAN
01545,URBAN
01550,URBAN
01560,URBAN
01562,URBAN
01564,URBAN
01566,URBAN
01568,URBAN
01569,URBAN
01570,URBAN
01571,URBAN
01581,URBAN
01583,URBAN
01585,URBAN
01588,URBAN
01590,URBAN
01602,URBAN
01603,URBAN
01604,URBAN
01605,URBAN
01606,URBAN
01607,URBAN
01608,URBAN
01609,URBAN
01610,URBAN
01611,URBAN
01612,URBAN
01701,URBAN
01702,URBAN
01718,URBAN
01719,URBAN
01720,URBAN
01721,URBAN
01730,URBAN
01731,URBAN
01740,URBAN
01741,URBAN
01742,URBAN
01745,URBAN
01746,URBAN
01747,URBAN
01748,URBAN
01749,URBAN
01752,URBAN
01754,URBAN
01756,URBAN
01757,URBAN
01760,URBAN
01770,URBAN
01772,URBAN
01773,URBAN
01775,URBAN
01776,URBAN
01778,URBAN
01801,URBAN
01803,URBAN
01810,URBAN
01821,URBAN
01824,URBAN
01826,URBAN
01827,URBAN
01830,URBAN
01832,URBAN
01833,URBAN
01834,URBAN
01835,URBAN
01840,URBAN
01841,URBAN
01843,URBAN
01844,URBAN
01845,URBAN
01850,URBAN
01851,URBAN
01852,URBAN
01854,URBAN
01860,URBAN
01862,URBAN
01863,URBAN
01864,URBAN
01867,URBAN
01876,URBAN
01879,URBAN
01880,URBAN
01886,URBAN
01887,URBAN
01890,URBAN
01902,URBAN
01904,URBAN
01905,URBAN
01906,URBAN
01907,URBAN
01908,URBAN
01913,URBAN
01915,URBAN
01921,URBAN
01922,URBAN
01923,URBAN
01929,URBAN
01930,URBAN
01938,URBAN
01940,URBAN
01944,URBAN
01945,URBAN
01949,URBAN
01950,URBAN
01951,URBAN
01952,URBAN
01960,URBAN
01966,URBAN
01969,URBAN
01970,URBAN
01982,URBAN
01983,URBAN
01984,URBAN
01985,URBAN
02019,URBAN
02021,URBAN
02025,URBAN
02026,URBAN
02030,URBAN
02032,URBAN
02035,URBAN
02038,URBAN
02043,URBAN
02045,URBAN
02048,URBAN
02050,URBAN
02052,URBAN
02053,URBAN
02054,URBAN
02056,URBAN
02061,URBAN
02062,URBAN
02066,URBAN
02067,URBAN
02071,URBAN
02072,URBAN
02081,URBAN
02090,URBAN
02093,URBAN
02108,URBAN
02109,URBAN
02110,URBAN
02111,URBAN
02113,URBAN
02114,URBAN
02115,URBAN
02116,URBAN
02118,URBAN
02119,URBAN
02120,URBAN
02121,URBAN
02122,URBAN
02124,URBAN
02125,URBAN
02126,URBAN
02127,URBAN
02128,URBAN
02129,URBAN
02130,URBAN
02131,URBAN
02132,URBAN
02134,URBAN
02135,URBAN
02136,URBAN
02138,URBAN
02139,URBAN
02140,URBAN
02141,URBAN
02142,URBAN
02143,URBAN
02144,URBAN
02145,URBAN
02148,URBAN
02149,URBAN
02150,URBAN
02151,URBAN
02152,URBAN
02155,URBAN
02163,URBAN
02169,URBAN
02170,URBAN
02171,URBAN
02176,URBAN
02180,URBAN
02184,URBAN
02186,URBAN
02188,URBAN
02189,URBAN
02190,URBAN
02191,URBAN
02199,URBAN
02210,URBAN
02215,URBAN
02222,URBAN
02301,URBAN
02302,URBAN
02322,URBAN
02324,URBAN
02330,URBAN
02332,URBAN
02333,URBAN
02338,URBAN
02339,URBAN
02341,URBAN
02343,URBAN
02346,URBAN
02347,URBAN
02351,URBAN
02356,URBAN
02358,URBAN
02359,URBAN
02360,URBAN
02364,URBAN
02366,URBAN
02367,URBAN
02368,URBAN
02370,URBAN
02375,URBAN
02379,URBAN
02382,URBAN
02420,URBAN
02421,URBAN
02445,URBAN
02446,URBAN
02451,URBAN
02452,URBAN
02453,URBAN
02458,URBAN
02459,URBAN
02460,URBAN
02461,URBAN
02462,URBAN
02464,URBAN
02465,URBAN
02466,URBAN
02467,URBAN
02468,URBAN
02472,URBAN
02474,URBAN
02476,URBAN
02478,URBAN
02481,URBAN
02482,URBAN
02492,URBAN
02493,URBAN
02494,URBAN
02532,URBAN
02534,URBAN
02535,RURAL
02536,URBAN
02537,URBAN
02538,URBAN
02539,RURAL
02540,URBAN
02542,URBAN
02543,URBAN
02554,RURAL
02556,URBAN
02558,URBAN
02559,URBAN
02563,URBAN
02568,RURAL
02571,URBAN
02575,RURAL
02576,URBAN
02601,URBAN
02630,URBAN
02631,URBAN
02632,URBAN
02633,URBAN
02635,URBAN
02638,URBAN
02639,URBAN
02642,URBAN
02644,URBAN
02645,URBAN
02646,URBAN
02647,URBAN
02648,URBAN
02649,URBAN
02650,URBAN
02652,URBAN
02653,URBAN
02655,URBAN
02657,URBAN
02659,URBAN
02660,URBAN
02661,URBAN
02664,URBAN
02666,URBAN
02667,URBAN
02668,URBAN
02669,URBAN
02670,URBAN
02671,URBAN
02672,URBAN
02673,URBAN
02675,URBAN
02702,URBAN
02703,URBAN
02713,RURAL
02715,URBAN
02717,URBAN
02718,URBAN
02719,URBAN
02720,URBAN
02721,URBAN
02723,URBAN
02724,URBAN
02725,URBAN
02726,URBAN
02738,URBAN
02739,URBAN
02740,URBAN
02743,URBAN
02744,URBAN
02745,URBAN
02746,URBAN
02747,URBAN
02748,URBAN
02760,URBAN
02762,URBAN
02763,URBAN
02764,URBAN
02766,URBAN
02767,URBAN
02769,URBAN
02770,URBAN
02771,URBAN
02777,URBAN
02779,URBAN
02780,URBAN
02790,URBAN
02804,URBAN
02806,URBAN
02807,URBAN
02808,URBAN
02809,URBAN
02812,URBAN
02813,URBAN
02814,URBAN
02815,URBAN
02816,URBAN
02817,URBAN
02818,URBAN
02822,URBAN
02825,URBAN
02827,URBAN
02828,URBAN
02830,URBAN
02831,URBAN
02832,URBAN
02833,URBAN
02835,URBAN
02836,URBAN
02837,URBAN
02838,URBAN
02839,URBAN
02840,URBAN
02842,URBAN
02852,URBAN
02857,URBAN
02858,URBAN
02859,URBAN
02860,URBAN
02861,URBAN
02863,URBAN
02864,URBAN
02865,URBAN
02871,URBAN
02874,URBAN
02875,URBAN
02878,URBAN
02879,URBAN
02881,URBAN
02882,URBAN
02885,URBAN
02886,URBAN
02888,URBAN
02889,URBAN
02891,URBAN
02892,URBAN
02893,URBAN
02894,URBAN
02895,URBAN
02896,URBAN
02898,URBAN
02903,URBAN
02904,URBAN
02905,URBAN
02906,URBAN
02907,URBAN
02908,URBAN
02909,URBAN
02910,URBAN
02911,URBAN
02914,URBAN
02915,URBAN
02916,URBAN
02917,URBAN
02919,URBAN
02920,URBAN
02921,URBAN
03031,URBAN
03032,URBAN
03033,URBAN
03034,URBAN
03036,URBAN
03037,URBAN
03038,URBAN
03042,URBAN
03043,URBAN
03044,URBAN
03045,URBAN
03047,URBAN
03048,URBAN
03049,URBAN
03051,URBAN
03052,URBAN
03053,URBAN
03054,URBAN
03055,URBAN
03057,URBAN
03060,URBAN
03062,URBAN
03063,URBAN
03064,URBAN
03070,URBAN
03071,URBAN
03076,URBAN
03077,URBAN
03079,URBAN
03082,URBAN
03084,URBAN
03086,URBAN
03087,URBAN
03101,URBAN
03102,URBAN
03103,URBAN
03104,URBAN
03106,RURAL
03109,URBAN
03110,URBAN
03215,RURAL
03216,RURAL
03217,RURAL
03218,RURAL
03220,RURAL
03221,RURAL
03222,RURAL
03223,RURAL
03224,RURAL
03225,RURAL
03226,RURAL
03227,RURAL
03229,RURAL
03230,RURAL
03233,RURAL
03234,RURAL
03235,RURAL
03237,RURAL
03240,RURAL
03241,RURAL
03242,RURAL
03243,RURAL
03244,URBAN
03246,RURAL
03251,RURAL
03253,RURAL
03254,RURAL
03255,RURAL
03256,RURAL
03257,RURAL
03259,RURAL
03260,RURAL
03261,URBAN
03262,RURAL
03263,RURAL
03264,RURAL
03266,RURAL
03268,RURAL
03269,RURAL
03273,RURAL
03275,RURAL
03276,RURAL
03278,RURAL
03279,RURAL
03280,RURAL
03281,URBAN
03282,RURAL
03284,RURAL
03287,RURAL
03290,URBAN
03291,URBAN
03301,RURAL
03303,RURAL
03304,RURAL
03307,RURAL
03431,RURAL
03440,URBAN
03441,RURAL
03442,URBAN
03443,RURAL
03444,RURAL
03445,RURAL
03446,RURAL
03447,RURAL
03448,RURAL
03449,URBAN
03450,RURAL
03451,RURAL
03452,RURAL
03455,RURAL
03456,RURAL
03457,RURAL
03458,URBAN
03461,RURAL
03462,RURAL
03464,RURAL
03465,RURAL
03466,RURAL
03467,RURAL
03470,RURAL
03561,RURAL
03570,RURAL
03574,RURAL
03576,RURAL
03579,RURAL
03580,RURAL
03581,RURAL
03582,RURAL
03583,RURAL
03584,RURAL
03585,RURAL
03588,RURAL
03590,RURAL
03592,RURAL
03595,RURAL
03598,RURAL
03601,RURAL
03602,RURAL
03603,RURAL
03605,RURAL
03607,RURAL
03608,RURAL
03609,RURAL
03741,RURAL
03743,RURAL
03745,RURAL
03748,RURAL
03750,RURAL
03751,RURAL
03752,RURAL
03753,RURAL
03755,RURAL
03765,RURAL
03766,RURAL
03768,RURAL
03770,RURAL
03771,RURAL
03773,RURAL
03774,RURAL
03777,RURAL
03779,RURAL
03780,RURAL
03781,RURAL
03782,RURAL
03784,RURAL
03785,RURAL
03801,URBAN
03809,RURAL
03810,RURAL
03811,URBAN
03812,RURAL
03813,RURAL
03814,RURAL
03815,URBAN
03816,RURAL
03817,RURAL
03818,RURAL
03819,URBAN
03820,URBAN
03824,URBAN
03825,URBAN
03826,URBAN
03827,URBAN
03830,RURAL
03832,RURAL
03833,URBAN
03835,URBAN
03836,RURAL
03837,RURAL
03838,RURAL
03839,URBAN
03840,URBAN
03841,URBAN
03842,URBAN
03844,URBAN
03845,RURAL
03846,RURAL
